,subsets,len,count
499,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'SEX63', 'USX74', 'CAX17'}",7,100
500,"{'USX75', 'NOX49', 'JPX38', 'MNX45', 'SEX63', 'DEX33', 'USX74'}",7,175
501,"{'JPX38', 'NOX49', 'MNX45', 'SEX63', 'DEX33', 'USX74', 'CAX16', 'CAX17'}",8,60
502,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'SEX63', 'DEX33', 'CAX16', 'CAX17'}",8,65
503,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'DEX33', 'USX74', 'CAX16', 'CAX17'}",8,60
504,"{'USX75', 'JPX38', 'MNX45', 'SEX63', 'DEX33', 'USX74', 'CAX16', 'CAX17'}",8,60
505,"{'USX75', 'JPX38', 'NOX49', 'SEX63', 'DEX33', 'USX74', 'CAX16', 'CAX17'}",8,60
506,"{'USX75', 'NOX49', 'MNX45', 'SEX63', 'DEX33', 'USX74', 'CAX16', 'CAX17'}",8,60
507,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'SEX63', 'USX74', 'CAX16', 'CAX17'}",8,99
508,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'SEX63', 'DEX33', 'USX74', 'CAX16'}",8,172
509,"{'USX75', 'JPX38', 'NOX49', 'MNX45', 'SEX63', 'DEX33', 'USX74', 'CAX17'}",8,61
